# Simulation 2 (Up to date)
# 1819 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (196 ft/s)
#
#Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (lbf),Drag force (lbf),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°C),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.01808,3.61865,362.14419,3.63247,363.52752,0.00158,0,0.00158,0,0.31659,31.68351,28.61,-80.6,32.12657,70.66898,0,0,0,174.33526,79.40526,1345.35013,14.08794,NaN,99.24873,NaN,0.0131,1180889.01133,2143.19507,0.00317,0.46115,0.03568,0.34283,0.01283,0.10549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00047,8,324.29279,85,0,13.85551,14.99996,1013.24935,1116.76141,0.01,0.01031
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.07235,7.23545,361.75994,7.26309,363.1418,0.00633,0,0.00633,0,0.63302,31.64989,28.61,-80.6,32.12657,58.65924,0,0,0,174.26388,79.33388,1345.04074,14.08398,NaN,99.2636,NaN,0.0146,1316459.34111,2140.23959,0.01397,0.45399,0.12666,0.33567,0.01283,0.10549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00093,8,324.29279,85,0,13.98063,14.99986,1013.24741,1116.7612,0.01,0.01246
0.03,0.16277,10.84841,361.37376,10.88984,362.75415,0.01424,0,0.01424,0,0.94911,31.61611,28.61,-80.6,32.12657,49.22378,0,0,0,174.1925,79.2625,1344.73197,14.08001,NaN,99.27846,NaN,0.01662,1498064.00854,2137.2841,0.03353,0.44578,0.23475,0.32745,0.01283,0.1055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014,8,324.29279,85,0,14.10574,14.99968,1013.24418,1116.76084,0.01,0.01378
0.04,0.28929,14.45653,360.93074,14.51176,362.30944,0.02531,0,0.02531,0,1.26478,31.57735,28.61,-80.6,32.12657,41.98691,0,0,0,174.08554,79.15554,1344.37278,14.07407,NaN,99.29021,NaN,0.01898,1710850.54883,2133.59367,0.06113,0.43765,0.3281,0.3193,0.01283,0.10551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00186,8,324.29279,85,0,14.23085,14.99943,1013.23966,1116.76034,0.01,0.01507
0.05,0.45187,18.05887,360.35051,18.12785,361.72699,0.03953,0,0.03953,0,1.57995,31.52658,28.61,-80.6,32.12657,36.42656,0,0,0,173.97859,79.04859,1344.01396,14.06813,NaN,99.30195,NaN,0.02157,1944367.80119,2129.16831,0.09564,0.4301,0.39744,0.31174,0.01284,0.10552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00232,8,324.29279,85,0,14.35597,14.9991,1013.23385,1116.7597,0.01,0.01653
0.06,0.65044,21.65635,359.82434,21.73907,361.19881,0.05691,0,0.05691,0,1.89468,31.48055,28.61,-80.6,32.12656,31.72656,0,0,0,173.90737,78.97737,1343.77539,14.06417,NaN,99.30974,NaN,0.02419,2181305.21293,2125.48275,0.13616,0.42355,0.44959,0.30517,0.01284,0.10554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00279,8,324.29279,85,0,14.26308,14.99871,1013.22675,1116.75892,0.01,0.01783
0.07,0.88497,25.24992,359.43324,25.34637,360.80621,0.07742,0,0.07742,0,2.20908,31.44633,28.61,-80.6,32.12656,27.97091,0,0,0,173.83615,78.90615,1343.53698,14.06021,NaN,99.31753,NaN,0.02695,2429725.2039,2122.53701,0.18158,0.41759,0.48322,0.2992,0.01284,0.10555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00325,8,324.29279,85,0,14.17019,14.99825,1013.21836,1116.758,0.01,0.01896
0.08,1.15542,28.83958,359.04105,28.94974,360.41253,0.10109,0,0.10109,0,2.52314,31.41202,28.61,-80.6,32.12656,24.92529,0,0,0,173.76493,78.83493,1343.29872,14.05626,NaN,99.32531,NaN,0.0298,2686338.60356,2119.59126,0.23116,0.41221,0.50324,0.29379,0.01285,0.10557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00371,8,324.29279,85,0,14.0773,14.99771,1013.2087,1116.75693,0.01,0.02006
0.09,1.46174,32.42435,358.59238,32.54821,359.96214,0.12789,0,0.12789,0,2.83676,31.37277,28.61,-80.6,32.12656,22.41948,0,0,0,173.65822,78.72822,1342.94239,14.05033,NaN,99.33693,NaN,0.03271,2948839.17715,2115.91245,0.28435,0.40735,0.51372,0.2889,0.01286,0.10559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00417,8,324.29279,85,0,13.98441,14.9971,1013.19775,1116.75573,0.01,0.02109
